recall      accuracy                precision   model
0.67        0.7295173961840629      0.16        decisionTree_basic_PosNeg_balanced.txt
0.65        0.7363761067464771      0.16        randomForest_basic_PosNeg_balanced.txt
0.63        0.7845117845117845      0.18        randomForest_maxDepth2_allBreedsAndColors_PosNeg_balanced.txt
0.65        0.7812694849731887      0.18        randomForest_maxDepth3_basic_PosNeg_10_1.txt
0.61        0.7815188926300037      0.18        randomForest_maxDepth3_primaryBreed_PosNeg_10_1.txt
0.63        0.7840129691981543      0.18        randomForest_maxDepth4_allBreedsAndColors_PosNeg_10_1.txt
0.74        0.7303903229829156      0.17        randomForest_maxDepth4_allBreedsAndColors_PosNeg_balanced.txt
0.68        0.75745105374735        0.17        randomForest_maxDepth4_allExtendedFeatures_PosNeg_10_1.txt
0.78        0.6968449931412894      0.16        randomForest_maxDepth4_allExtendedFeatures_PosNeg_balanced.txt
0.62        0.753709938895124       0.16        randomForest_maxDepth4_allPrimaries_PosNeg_10_1.txt
0.7         0.7679261753335828      0.18        randomForest_maxDepth4_basic_PosNeg_10_1.txt
0.74        0.7109365257513406      0.16        randomForest_maxDepth4_basic_PosNeg_balanced.txt
0.64        0.7527123082678638      0.16        randomForest_maxDepth4_primaryBreedsAndColor_PosNeg_10_1.txt
0.69        0.757201646090535       0.17        randomForest_maxDepth4_primaryBreedsAndColor_PosNeg_balanced.txt
0.67        0.7777777777777778      0.19        randomForest_maxDepth4_primaryBreed_PosNeg_10_1.txt
0.71        0.7407407407407407      0.17        randomForest_maxDepth4_primaryBreed_PosNeg_balanced.txt
0.61        0.7815188926300037      0.18        randomForest_maxDepth4_primaryColor_PosNeg_10_1.txt
0.72        0.7157999750592343      0.16        randomForest_maxDepth4_primaryColor_PosNeg_balanced.txt
