OutcomeType;AnimalType;SexuponOutcome;Sex;Intact;AgeNumber;AgeType;AgeTypeNormalized;AgeInYears;Breed 1;Breed 2;Mix;Primary Color;ColorAddition1;Secondary Color;ColorAddition2
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Shetland Sheepdog ;;TRUE;Brown;;White;
Euthanasia;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;Cream;Tabby;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Blue;;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;Cream;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Lhasa Apso;Miniature Poodle;FALSE;Tan;;;
Transfer;Dog;Intact Female;Female;Intact;1;month;month;0.083333333;Cairn Terrier;Chihuahua Shorthair;FALSE;Black;;Tan;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;American Pit Bull Terrier ;;TRUE;Red;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Cairn Terrier;;FALSE;White;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Miniature Schnauzer ;;TRUE;Silver;;;
Adoption;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Pit Bull ;;TRUE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Yorkshire Terrier ;;TRUE;Black;;Red;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Great Pyrenees ;;TRUE;White;;Cream;
Adoption;Cat;Neutered Male;Male;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Intact Female;Female;Intact;2;weeks;week;0.038461538;Pit Bull ;;TRUE;Brown;;White;
Transfer;Cat;Intact Female;Female;Intact;2;years;year;2;Angora ;;TRUE;White;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Flat Coat Retriever ;;TRUE;Black;;;
Transfer;Dog;Intact Male;Male;Intact;2;months;month;0.166666667;Queensland Heeler ;;TRUE;Black;;White;
Transfer;Cat;Spayed Female;Female;Non-intact;1;year;year;1;Domestic Shorthair ;;TRUE;White;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Plott Hound;Boxer;FALSE;Brown;Brindle;White;
Adoption;Dog;Neutered Male;Male;Non-intact;10;months;month;0.833333333;German Shepherd ;;TRUE;Brown;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;German Shepherd ;;TRUE;Black;;Brown;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;6;months;month;0.5;American Staffordshire Terrier ;;TRUE;Chocolate;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;5;years;year;5;Chihuahua Shorthair ;;TRUE;White;;Tan;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Cream;Tabby;White;
Return_to_owner;Cat;Neutered Male;Male;Non-intact;7;years;year;7;Russian Blue ;;TRUE;Blue;;;
Euthanasia;Cat;Spayed Female;Female;Non-intact;3;years;year;3;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Intact Male;Male;Intact;4;months;month;0.333333333;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Collie Smooth;German Shepherd;FALSE;Brown;;Black;
Transfer;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Brown;;;
Euthanasia;Dog;Intact Male;Male;Intact;3;years;year;3;Labrador Retriever ;;TRUE;Yellow;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Pit Bull ;;TRUE;Brown;;White;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Blue;;White;
Transfer;Cat;Neutered Male;Male;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Adoption;Cat;Spayed Female;Female;Non-intact;7;years;year;7;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Male;Male;Intact;4;years;year;4;Domestic Longhair ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Beagle;;FALSE;Tricolor;;;
Return_to_owner;Cat;Spayed Female;Female;Non-intact;9;years;year;9;Domestic Shorthair ;;TRUE;White;;Black;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;5;months;month;0.416666667;German Shepherd ;;TRUE;Black;;Brown;
Euthanasia;Dog;Intact Male;Male;Intact;6;years;year;6;Pit Bull;Labrador Retriever;FALSE;Chocolate;;White;
Transfer;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Cat;Intact Female;Female;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Blue;Tabby;White;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Blue Lacy ;;TRUE;Gray;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Transfer;Cat;Intact Male;Male;Intact;1;weeks;week;0.019230769;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Cat;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Calico;;;
Transfer;Dog;Intact Male;Male;Intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Tan;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Black Mouth Cur ;;TRUE;Tan;;Black;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Dachshund;Beagle;FALSE;Brown;;White;
Transfer;Cat;Intact Male;Male;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Orange;Tabby;White;
Euthanasia;Dog;Spayed Female;Female;Non-intact;11;years;year;11;Yorkshire Terrier ;;TRUE;Brown;;Black;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Dachshund ;;TRUE;Tan;;White;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;6;years;year;6;Maltese ;;TRUE;White;;;
Transfer;Dog;Neutered Male;Male;Non-intact;6;months;month;0.5;Pointer ;;TRUE;Black;;White;
Transfer;Dog;Intact Female;Female;Intact;2;months;month;0.166666667;English Foxhound;;FALSE;Buff;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;White;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Red;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Vizsla ;;TRUE;Brown;;;
Transfer;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Brown;Brindle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;German Shepherd;Great Pyrenees;FALSE;White;;;
Return_to_owner;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Black;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;4;years;year;4;Yorkshire Terrier ;;TRUE;Blue;;Tan;
Transfer;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Cardigan Welsh Corgi;Chihuahua Shorthair;FALSE;Tan;;;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Longhair;;FALSE;Brown;Tabby;;
Euthanasia;Cat;Intact Female;Female;Intact;1;year;year;1;Domestic Shorthair ;;TRUE;Calico;;;
Adoption;Dog;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Chow Chow;Pit Bull;FALSE;Black;;;
Transfer;Cat;Spayed Female;Female;Non-intact;2;years;year;2;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair;;FALSE;White;;;
Euthanasia;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Transfer;Cat;Unknown;Unknown;Unknown;4;weeks;week;0.076923077;Siamese ;;TRUE;Seal Point;;;
Transfer;Cat;Intact Male;Male;Intact;2;years;year;2;Domestic Shorthair ;;TRUE;Blue;Tabby;;
Euthanasia;Dog;Neutered Male;Male;Non-intact;12;years;year;12;Pit Bull ;;TRUE;Brown;Brindle;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Dachshund;Beagle;FALSE;Brown;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Intact Male;Male;Intact;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Dog;Intact Female;Female;Intact;3;months;month;0.25;Labrador Retriever ;;TRUE;Black;;White;
Adoption;Cat;Spayed Female;Female;Non-intact;3;months;month;0.25;Domestic Medium Hair ;;TRUE;Calico;;;
Adoption;Dog;Neutered Male;Male;Non-intact;5;months;month;0.416666667;Plott Hound ;;TRUE;Brown;Brindle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Boxer;Great Dane;FALSE;Black;;;
Transfer;Dog;Spayed Female;Female;Non-intact;7;years;year;7;Lhasa Apso;;FALSE;White;;Black;
Euthanasia;Dog;Spayed Female;Female;Non-intact;2;years;year;2;German Shepherd ;;TRUE;Black;;Tan;
Adoption;Cat;Spayed Female;Female;Non-intact;4;months;month;0.333333333;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Beagle;Treeing Walker Coonhound;FALSE;White;;Brown;
Transfer;Dog;Neutered Male;Male;Non-intact;7;months;month;0.583333333;Border Collie ;;TRUE;Black;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Male;Male;Intact;3;years;year;3;Domestic Shorthair ;;TRUE;Black;;White;
Adoption;Dog;Neutered Male;Male;Non-intact;3;years;year;3;Border Terrier ;;TRUE;Gray;;;
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Chihuahua Shorthair ;;TRUE;Tan;;White;
Transfer;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Boxer ;;TRUE;Brown;Brindle;White;
Transfer;Cat;Intact Female;Female;Intact;2;weeks;week;0.038461538;Domestic Medium Hair ;;TRUE;Blue;;;
Transfer;Cat;Unknown;Unknown;Unknown;2;weeks;week;0.038461538;Domestic Shorthair ;;TRUE;Black;;;
Transfer;Cat;Spayed Female;Female;Non-intact;4;years;year;4;Domestic Shorthair ;;TRUE;Torbie;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;4;years;year;4;Cairn Terrier ;;TRUE;Tan;;White;
Adoption;Cat;Neutered Male;Male;Non-intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Black;;Tan;
Adoption;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Dogo Argentino ;;TRUE;White;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;9;years;year;9;Dachshund ;;TRUE;Black;;Brown;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Beagle ;;TRUE;Tricolor;;;
Euthanasia;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Chihuahua Shorthair;Dachshund;FALSE;Yellow;Brindle;White;
Adoption;Dog;Spayed Female;Female;Non-intact;2;years;year;2;Pit Bull ;;TRUE;Fawn;;White;
Transfer;Cat;Intact Male;Male;Intact;3;weeks;week;0.057692308;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Transfer;Dog;Intact Male;Male;Intact;5;months;month;0.416666667;Pit Bull ;;TRUE;White;;Brown;
Euthanasia;Cat;Intact Male;Male;Intact;6;years;year;6;Domestic Shorthair ;;TRUE;Orange;Tabby;;
Adoption;Dog;Spayed Female;Female;Non-intact;1;year;year;1;Chihuahua Shorthair ;;TRUE;Tan;;;
Transfer;Dog;Intact Male;Male;Intact;3;months;month;0.25;Chihuahua Shorthair ;;TRUE;Black;;White;
Transfer;Cat;Intact Female;Female;Intact;1;month;month;0.083333333;Domestic Longhair ;;TRUE;Calico;;;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Chihuahua Shorthair ;;TRUE;Brown;;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Dachshund ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;8;years;year;8;Miniature Schnauzer;Miniature Poodle;FALSE;Black;;;
Adoption;Dog;Spayed Female;Female;Non-intact;2;months;month;0.166666667;Labrador Retriever ;;TRUE;Black;;White;
Euthanasia;Cat;Intact Female;Female;Intact;7;years;year;7;Domestic Shorthair ;;TRUE;Tortie;;;
Adoption;Cat;Intact Female;Female;Intact;2;months;month;0.166666667;Domestic Shorthair ;;TRUE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;5;years;year;5;Pit Bull;;FALSE;Black;;;
Adoption;Dog;Neutered Male;Male;Non-intact;1;year;year;1;Pit Bull ;;TRUE;White;;Brown;
Transfer;Cat;Intact Male;Male;Intact;3;months;month;0.25;Domestic Shorthair ;;TRUE;Brown;Tabby;;
Return_to_owner;Dog;Neutered Male;Male;Non-intact;2;years;year;2;Chihuahua Shorthair ;;TRUE;Brown;;White;
Return_to_owner;Dog;Spayed Female;Female;Non-intact;9;years;year;9;Labrador Retriever ;;TRUE;Chocolate;;White;
Adoption;Dog;Spayed Female;Female;Non-intact;3;years;year;3;Pit Bull ;;TRUE;Red;;White;
